id,collection,dspace.entity.type,nrcan.language.code,dc.title[en],dc.title[fr]
+,123456789s/23,Language,cs,Czech,tchèque
+,123456789s/23,Language,de,German,allemand
+,123456789s/23,Language,da,Danish,danois
+,123456789s/23,Language,en,English,anglais
+,123456789s/23,Language,fr,French,français
+,123456789s/23,Language,fi,Finnish,finnois
+,123456789s/23,Language,hu,Hungarian,hongrois
+,123456789s/23,Language,ja,Japanese,japonais
+,123456789s/23,Language,pt,Portuguese,portugais
+,123456789s/23,Language,ru,Russian,russe
+,123456789s/23,Language,es,Spanish,espagnol
+,123456789s/23,Language,zh,Chinese,chinois
+,123456789s/23,Language,sv,Swedish,suédois
+,123456789s/23,Language,el,Greek,grec
+,123456789s/23,Language,it,Italian,italien
+,123456789s/23,Language,uk,Ukrainian,ukrainien
+,123456789s/23,Language,nl,Dutch,néerlandais
+,123456789s/23,Language,hi,Hindi,hindi
+,123456789s/23,Language,pl,Polish,polonais
+,123456789s/23,Language,sn,Slovenian,slovène
+,123456789s/23,Language,ma,Marathi,marathi
+,123456789s/23,Language,pe,Persian,persan
+,123456789s/23,Language,no,Norwegian,norvégien
+,123456789s/23,Language,af,Afrikaans,afrikaans
+,123456789s/23,Language,iu,Inuktitut,inuktitut
+,123456789s/23,Language,cp,Chipewyan (Dene),chipewyan (déné)
